,do,da,dz,db,sigma,iter,recon_loss,act_mse,obs_mse,noi_mse
0,128,8,2,8,0.5,0,1.62553870677948,0.9333252906799316,0.9906808733940125,1.0107008218765259
1,128,8,2,8,0.5,1000,0.1416216492652893,1.050366997718811,0.9635050296783447,1.0227386951446533
2,128,8,2,8,0.5,2000,0.06523215770721436,0.8705524206161499,1.0034985542297363,0.9918132424354553
3,128,8,2,8,0.5,3000,0.06592538207769394,0.8211984634399414,1.0059376955032349,0.9799435138702393
4,128,8,2,8,0.5,4000,0.06151169165968895,0.7271040678024292,1.0152289867401123,0.9552667140960693
5,128,8,2,8,0.5,5000,0.061341531574726105,0.7006618976593018,1.0117236375808716,1.021225094795227
6,128,8,2,8,0.5,6000,0.062394559383392334,0.731810450553894,0.9862684011459351,0.9521565437316895
7,128,8,2,8,0.5,7000,0.0644553080201149,0.7377585172653198,0.9870763421058655,1.0437949895858765
8,128,8,2,8,0.5,8000,0.06480242311954498,0.7905476093292236,1.0039581060409546,0.9169133901596069
9,128,8,2,8,0.5,9000,0.061462223529815674,0.7213324904441833,1.001918077468872,1.0235261917114258
10,128,8,2,8,0.5,10000,0.07146637886762619,0.8672523498535156,1.0071444511413574,1.042681336402893
11,128,8,2,8,0.5,11000,0.061771683394908905,0.7229815721511841,1.0004481077194214,0.9963409304618835
12,128,8,2,8,0.5,12000,0.06252212822437286,0.7214778661727905,0.9821076989173889,0.9794012308120728
13,128,8,2,8,0.5,13000,0.06568905711174011,0.7786460518836975,1.011425256729126,0.9991967678070068
14,128,8,2,8,0.5,14000,0.06015487760305405,0.6933252811431885,0.9927810430526733,0.9977278709411621
15,128,8,2,8,0.5,15000,0.0622897744178772,0.7347976565361023,0.989281415939331,1.0315403938293457
16,128,8,2,8,0.5,16000,0.06598180532455444,0.7852156162261963,0.9824497699737549,0.9519470930099487
17,128,8,2,8,0.5,17000,0.06641114503145218,0.7750740051269531,1.0005207061767578,1.0567240715026855
18,128,8,2,8,0.5,18000,0.06377681344747543,0.7382445335388184,0.9942507743835449,1.0764657258987427
19,128,8,2,8,0.5,19000,0.06115657463669777,0.7478079795837402,0.9842711687088013,0.9832330942153931
20,128,8,2,8,0.5,20000,0.06473338603973389,0.7663769125938416,1.002455711364746,0.9910971522331238
21,128,8,2,8,0.5,21000,0.06254260241985321,0.7174742221832275,0.9684401750564575,1.015396237373352
22,128,8,2,8,0.5,22000,0.06130760908126831,0.7150946855545044,0.9931051731109619,1.018312931060791
23,128,8,2,8,0.5,23000,0.06088661029934883,0.6965552568435669,1.0051733255386353,0.985560953617096
